question_id,subject,bloom_level,question_text,question_length,mean_score,std_dev,pass_rate,discrimination_index,difficulty_label
Q0057,Biology,Remember,What is photosynthesis?,3,21.3,21.42,0.18,0.47,Medium
Q0058,Computer Science,Remember,What does dynamic programming stand for?,6,50.96,12.74,0.48,0.54,Easy
Q0059,Computer Science,Evaluate,Evaluate the trade-offs between operating system scheduling and sorting algorithms.,10,63.7,9.15,0.7,0.54,Medium
Q0060,Physics,Evaluate,Assess whether thermodynamics holds true in the given scenario.,9,68.95,11.97,0.66,0.32,Medium
Q0061,Mathematics,Evaluate,Assess the limitations of calculus in real-world applications.,8,28.68,15.14,0.23,0.63,Hard
Q0062,Biology,Remember,Define protein synthesis in biological terms.,6,54.05,16.92,0.59,0.34,Easy
Q0063,Biology,Analyze,Analyze the relationship between enzyme activity and cellular respiration.,9,63.28,10.68,0.71,0.51,Medium
Q0064,Computer Science,Analyze,Differentiate between neural networks and database normalization.,7,61.7,11.36,0.6,0.38,Medium
Q0065,Physics,Apply,Apply the formula for thermodynamics to solve the given problem.,10,84.9,9.16,0.88,0.23,Easy
Q0066,Biology,Analyze,Analyze the relationship between mitosis and cellular respiration.,8,51.01,12.76,0.66,0.41,Medium
Q0067,Computer Science,Analyze,Differentiate between encryption and recursion.,5,52.66,13.82,0.59,0.43,Medium
Q0068,Physics,Create,Develop a theoretical model incorporating optics.,6,52.67,10.31,0.67,0.38,Medium
Q0069,Biology,Apply,Use the concept of enzyme activity to predict the outcome of the experiment.,13,44.42,16.3,0.2,0.49,Medium
Q0070,Physics,Understand,Summarize the principles governing electromagnetism.,5,62.7,9.27,0.46,0.31,Easy
Q0071,Mathematics,Remember,List the properties of linear algebra.,6,56.73,12.4,0.51,0.31,Easy
Q0072,Biology,Analyze,Differentiate between mitosis and enzyme activity.,6,85.74,3.38,0.79,0.24,Easy
Q0073,Mathematics,Evaluate,Critique the use of integration in the given scenario.,9,35.16,19.49,0.18,0.63,Hard
Q0074,Biology,Apply,Use the concept of enzyme activity to predict the outcome of the experiment.,13,46.51,17.6,0.48,0.49,Medium
Q0075,Computer Science,Understand,Summarize the working of sorting algorithms.,6,71.88,3.02,0.86,0.25,Easy
Q0076,Physics,Create,Develop a theoretical model incorporating wave motion.,7,91.49,3.5,0.81,0.17,Medium
Q0077,Computer Science,Create,Construct a database schema using principles of TCP/IP protocol.,9,76.64,4.0,0.76,0.3,Medium
Q0078,Biology,Create,Design an experiment to test the effect of temperature on osmosis.,11,55.06,10.72,0.61,0.41,Medium
Q0079,Physics,Remember,What is the SI unit of electric circuits?,8,94.05,8.85,0.89,0.34,Easy
Q0080,Computer Science,Analyze,Differentiate between binary trees and encryption.,6,56.06,10.78,0.75,0.41,Medium
Q0081,Physics,Analyze,Break down the forces acting in a system involving wave motion.,11,61.75,16.58,0.55,0.47,Medium
Q0082,Mathematics,Analyze,Compare and contrast graph theory with integration.,7,76.31,3.81,0.94,0.32,Easy
Q0083,Biology,Remember,Define enzyme activity in biological terms.,6,79.04,8.3,0.9,0.29,Easy
Q0084,Computer Science,Apply,Apply machine learning to solve the given computational problem.,9,62.46,9.21,0.74,0.45,Easy
Q0085,Mathematics,Evaluate,Justify why integration is preferred over trigonometry.,7,50.62,16.41,0.48,0.54,Medium
Q0086,Physics,Analyze,Compare thermodynamics in elastic and inelastic collisions.,7,44.51,12.92,0.29,0.58,Medium
Q0087,Biology,Apply,Calculate the rate of DNA replication given the experimental data.,10,32.69,19.85,0.2,0.55,Medium
Q0088,Biology,Apply,Use the concept of immune response to predict the outcome of the experiment.,13,64.07,11.77,0.73,0.52,Easy
Q0089,Computer Science,Analyze,Compare TCP/IP protocol and sorting algorithms in terms of performance.,10,88.62,7.94,0.94,0.2,Easy
Q0090,Computer Science,Evaluate,Critique the design of sorting algorithms in the given system.,10,28.3,11.2,0.4,0.48,Hard
Q0091,Biology,Create,Formulate a research question about mitosis in the context of disease.,11,21.87,19.38,0.19,0.67,Hard
Q0092,Biology,Apply,Use the concept of enzyme activity to predict the outcome of the experiment.,13,67.19,12.88,0.61,0.45,Easy
Q0093,Mathematics,Analyze,Break down the steps involved in solving calculus.,8,39.01,18.45,0.14,0.51,Hard
Q0094,Physics,Remember,Define electromagnetism in the context of physics.,7,79.37,4.02,0.88,0.24,Easy
Q0095,Mathematics,Evaluate,Critique the use of trigonometry in the given scenario.,9,35.49,12.89,0.42,0.5,Hard
Q0096,Physics,Create,Formulate a hypothesis about gravitational force based on the data.,10,90.12,9.31,0.91,0.14,Medium
Q0097,Biology,Create,Develop a model to explain the mechanism of osmosis.,9,91.13,4.39,0.84,0.22,Medium
Q0098,Physics,Create,Design an experiment to measure electric circuits accurately.,8,94.45,7.61,0.82,0.24,Medium
Q0099,Physics,Understand,Describe the relationship between thermodynamics and energy.,7,53.81,14.37,0.64,0.47,Easy
Q0100,Physics,Analyze,Differentiate between electromagnetism and quantum mechanics.,6,79.12,3.92,0.97,0.18,Easy
Q0101,Computer Science,Evaluate,Critique the design of dynamic programming in the given system.,10,29.15,16.02,0.2,0.51,Hard
Q0102,Mathematics,Analyze,Differentiate between graph theory and matrices with examples.,8,23.52,21.6,0.4,0.7,Medium
Q0103,Mathematics,Analyze,Differentiate between matrices and linear algebra with examples.,8,83.41,6.18,0.91,0.27,Easy
Q0104,Computer Science,Analyze,Analyze the time complexity of TCP/IP protocol.,7,92.11,6.93,0.97,0.16,Easy
Q0105,Biology,Remember,Define osmosis in biological terms.,5,93.66,5.13,0.87,0.12,Easy
Q0106,Physics,Create,Formulate a hypothesis about thermodynamics based on the data.,9,37.41,16.48,0.31,0.7,Hard
Q0107,Biology,Apply,Apply your knowledge of cellular respiration to explain the given case study.,12,79.26,6.1,0.98,0.31,Easy
Q0108,Physics,Remember,Define electric circuits in the context of physics.,8,49.75,9.22,0.7,0.41,Easy
Q0109,Mathematics,Apply,Calculate the value of number theory given the following data.,10,73.15,6.95,0.77,0.29,Easy
Q0110,Computer Science,Apply,Apply encryption to solve the given computational problem.,8,39.72,17.15,0.2,0.79,Medium
Q0111,Computer Science,Remember,List the types of sorting algorithms.,6,45.64,8.15,0.69,0.36,Easy
Q0112,Physics,Remember,What is the SI unit of relativity?,7,80.52,3.8,0.77,0.21,Easy
Q0113,Biology,Evaluate,Judge the effectiveness of genetic mutation as a defense mechanism.,10,85.38,8.09,0.97,0.26,Easy
Q0114,Mathematics,Analyze,Compare and contrast matrices with probability.,6,30.66,11.3,0.35,0.61,Medium
Q0115,Mathematics,Understand,Summarize the key principles of integration.,6,85.83,6.84,0.83,0.35,Easy
Q0116,Biology,Remember,Define osmosis in biological terms.,5,22.86,17.86,0.41,0.64,Medium
Q0117,Computer Science,Analyze,Break down the architecture of recursion.,6,56.34,12.16,0.48,0.41,Medium
Q0118,Biology,Remember,Define protein synthesis in biological terms.,6,72.13,6.02,0.93,0.19,Easy
Q0119,Physics,Create,Design an experiment to measure quantum mechanics accurately.,8,78.84,7.66,0.93,0.32,Medium
Q0120,Physics,Remember,What is the SI unit of thermodynamics?,7,50.32,14.57,0.52,0.33,Easy
Q0121,Computer Science,Analyze,Analyze the time complexity of operating system scheduling.,8,44.36,19.82,0.31,0.67,Medium
Q0122,Mathematics,Understand,Describe how number theory works in real-world scenarios.,8,89.06,9.45,0.83,0.15,Easy
Q0123,Mathematics,Understand,Interpret the graph representing matrices.,5,44.3,11.1,0.29,0.58,Medium
Q0124,Physics,Apply,Apply the formula for electric circuits to solve the given problem.,11,39.42,16.81,0.13,0.47,Medium
Q0125,Mathematics,Apply,"Solve the following problem using matrices: if x = 5, find y.",12,55.6,14.07,0.57,0.35,Medium
Q0126,Mathematics,Apply,"Solve the following problem using calculus: if x = 5, find y.",12,59.83,13.27,0.54,0.36,Medium
Q0127,Physics,Understand,Interpret the graph showing electromagnetism over time.,7,39.1,13.47,0.14,0.62,Medium
Q0128,Biology,Evaluate,Evaluate the significance of osmosis in evolution.,7,32.51,20.0,0.38,0.48,Hard
Q0129,Biology,Remember,What is osmosis?,3,34.39,16.88,0.35,0.6,Medium
Q0130,Physics,Understand,Explain optics using everyday examples.,5,35.45,19.98,0.42,0.48,Medium
Q0131,Biology,Evaluate,Evaluate the significance of protein synthesis in evolution.,8,91.76,8.22,0.8,0.29,Medium
Q0132,Computer Science,Apply,Use neural networks to optimize the following algorithm.,8,68.96,14.45,0.49,0.33,Medium
Q0133,Computer Science,Create,Create a flowchart illustrating the process of operating system scheduling.,10,93.78,7.4,0.86,0.24,Medium
Q0134,Physics,Understand,Summarize the principles governing relativity.,5,56.72,14.31,0.69,0.45,Easy
Q0135,Physics,Analyze,Analyze how electric circuits changes under different conditions.,8,46.42,16.32,0.47,0.52,Medium
Q0136,Biology,Analyze,Compare cellular respiration in prokaryotes and eukaryotes.,7,68.86,15.39,0.46,0.53,Medium
Q0137,Computer Science,Remember,Define the term sorting algorithms.,5,65.27,16.37,0.74,0.32,Easy
Q0138,Biology,Analyze,Differentiate between immune response and photosynthesis.,6,60.25,11.64,0.73,0.4,Medium
Q0139,Physics,Remember,Define gravitational force in the context of physics.,8,58.95,11.87,0.53,0.51,Easy
Q0140,Computer Science,Apply,Write a program to implement dynamic programming.,7,61.4,14.62,0.49,0.48,Medium
Q0141,Biology,Create,Design an experiment to test the effect of temperature on osmosis.,11,40.33,18.04,0.39,0.71,Hard
Q0142,Physics,Remember,Define electromagnetism in the context of physics.,7,49.51,10.14,0.73,0.42,Easy
Q0143,Mathematics,Apply,"Solve the following problem using matrices: if x = 5, find y.",12,22.53,19.25,0.39,0.76,Medium
Q0144,Biology,Understand,Illustrate the cycle of photosynthesis with a diagram.,8,90.78,8.4,0.94,0.14,Easy
Q0145,Physics,Create,Develop a theoretical model incorporating relativity.,6,44.24,17.33,0.36,0.72,Hard
Q0146,Physics,Analyze,Break down the forces acting in a system involving wave motion.,11,24.85,18.14,0.3,0.6,Hard
Q0147,Biology,Understand,Summarize the role of protein synthesis in cell function.,9,40.03,11.66,0.19,0.67,Medium
Q0148,Mathematics,Apply,"Solve the following problem using statistics: if x = 5, find y.",12,74.01,6.15,0.87,0.31,Easy
Q0149,Physics,Remember,Define momentum in the context of physics.,7,54.91,11.74,0.57,0.32,Easy
Q0150,Mathematics,Create,Construct a proof for integration.,5,64.78,9.38,0.54,0.51,Medium
Q0151,Mathematics,Remember,List the properties of linear algebra.,6,75.39,4.05,0.98,0.25,Easy
Q0152,Computer Science,Apply,Demonstrate the use of operating system scheduling in the given scenario.,11,75.96,7.47,0.9,0.12,Easy
Q0153,Mathematics,Create,Construct a proof for number theory.,6,51.05,9.44,0.58,0.45,Medium
Q0154,Computer Science,Create,Design a system using database normalization to handle real-time data.,10,58.09,11.61,0.74,0.44,Medium
Q0155,Mathematics,Create,Construct a proof for linear algebra.,6,54.33,15.47,0.56,0.32,Medium
Q0156,Computer Science,Remember,What does machine learning stand for?,6,53.46,14.43,0.7,0.47,Easy
Q0157,Mathematics,Create,Design a mathematical model using matrices to represent a real-world problem.,11,31.44,13.52,0.12,0.52,Hard
Q0158,Biology,Evaluate,Evaluate the significance of cellular respiration in evolution.,8,45.92,14.47,0.54,0.52,Medium
Q0159,Mathematics,Apply,Calculate the value of integration given the following data.,9,55.0,12.4,0.74,0.38,Easy
Q0160,Physics,Evaluate,Assess whether relativity holds true in the given scenario.,9,72.07,5.97,0.85,0.35,Medium
Q0161,Physics,Remember,List the factors affecting gravitational force.,6,86.52,5.15,0.89,0.21,Easy
Q0162,Mathematics,Create,Design a mathematical model using linear algebra to represent a real-world problem.,12,28.81,21.98,0.2,0.79,Hard
Q0163,Physics,Evaluate,Critique the assumptions made in the momentum model.,8,36.99,21.43,0.15,0.66,Hard
Q0164,Mathematics,Understand,Interpret the graph representing matrices.,5,29.16,14.59,0.3,0.66,Medium
Q0165,Biology,Remember,What is photosynthesis?,3,58.24,11.98,0.64,0.36,Easy
Q0166,Biology,Evaluate,Judge the effectiveness of genetic mutation as a defense mechanism.,10,59.04,10.62,0.53,0.41,Medium
Q0167,Mathematics,Understand,Summarize the key principles of matrices.,6,31.3,20.78,0.26,0.48,Medium
Q0168,Physics,Apply,Apply the formula for thermodynamics to solve the given problem.,10,37.8,21.13,0.32,0.73,Medium
Q0169,Computer Science,Understand,Describe the role of operating system scheduling in modern computing.,10,20.66,16.65,0.23,0.73,Medium
Q0170,Mathematics,Apply,"Solve the following problem using probability: if x = 5, find y.",12,62.92,12.79,0.57,0.4,Medium
Q0171,Mathematics,Analyze,Analyze the relationship between probability and integration.,7,57.93,9.28,0.7,0.44,Medium
Q0172,Mathematics,Remember,State the linear algebra theorem.,5,52.6,9.62,0.73,0.36,Easy
Q0173,Computer Science,Create,Develop an algorithm based on operating system scheduling that improves efficiency.,11,26.86,17.5,0.32,0.48,Hard
Q0174,Computer Science,Create,Design a system using binary trees to handle real-time data.,10,67.55,11.38,0.73,0.31,Medium
Q0175,Physics,Create,Construct a simulation to demonstrate quantum mechanics.,7,84.3,7.33,0.76,0.32,Medium
Q0176,Computer Science,Create,Create a flowchart illustrating the process of neural networks.,9,56.34,14.89,0.5,0.4,Medium
Q0177,Computer Science,Apply,Use encryption to optimize the following algorithm.,7,27.98,21.86,0.22,0.59,Medium
Q0178,Mathematics,Apply,Apply number theory to determine the missing variable.,8,73.06,6.15,0.78,0.11,Easy
Q0179,Computer Science,Understand,Illustrate the concept of TCP/IP protocol using a diagram.,9,43.34,18.65,0.17,0.51,Medium
Q0180,Biology,Remember,What is photosynthesis?,3,79.83,6.2,0.81,0.25,Easy
Q0181,Biology,Evaluate,Critique the experimental design used to study DNA replication.,9,36.36,15.65,0.29,0.75,Hard
Q0182,Physics,Analyze,Analyze how wave motion changes under different conditions.,8,55.01,13.7,0.51,0.44,Medium
Q0183,Biology,Evaluate,Critique the experimental design used to study cellular respiration.,9,94.73,7.76,0.78,0.34,Medium
Q0184,Physics,Understand,Summarize the principles governing nuclear fission.,6,82.73,6.5,0.76,0.13,Easy
Q0185,Biology,Understand,Summarize the role of immune response in cell function.,9,57.89,11.28,0.63,0.34,Easy
Q0186,Biology,Create,Formulate a research question about immune response in the context of disease.,12,56.87,8.17,0.55,0.33,Medium
Q0187,Mathematics,Evaluate,Evaluate the efficiency of number theory in solving complex problems.,10,69.18,15.83,0.68,0.44,Medium
Q0188,Computer Science,Evaluate,Evaluate the trade-offs between operating system scheduling and binary trees.,10,60.49,16.41,0.49,0.47,Medium
Q0189,Computer Science,Remember,What does sorting algorithms stand for?,6,55.47,12.13,0.51,0.43,Easy
Q0190,Computer Science,Evaluate,Justify the use of encryption in large-scale systems.,8,61.56,13.25,0.54,0.34,Medium
Q0191,Physics,Evaluate,Judge the accuracy of the experiment measuring quantum mechanics.,9,68.93,10.79,0.54,0.54,Medium
Q0192,Biology,Apply,Calculate the rate of osmosis given the experimental data.,9,59.01,17.34,0.67,0.37,Easy
Q0193,Computer Science,Apply,Demonstrate the use of neural networks in the given scenario.,10,93.88,3.55,0.97,0.26,Easy
Q0194,Physics,Evaluate,Assess whether optics holds true in the given scenario.,9,48.43,14.16,0.63,0.36,Medium
Q0195,Mathematics,Analyze,Analyze the relationship between differential equations and graph theory.,9,56.81,14.81,0.49,0.54,Medium
Q0196,Biology,Create,Design an experiment to test the effect of temperature on immune response.,12,94.1,5.25,0.91,0.33,Medium
Q0197,Mathematics,Understand,Interpret the graph representing probability.,5,65.94,17.34,0.46,0.51,Easy
Q0198,Mathematics,Remember,List the properties of probability.,5,85.07,9.5,0.83,0.21,Easy
Q0199,Biology,Apply,Use the concept of photosynthesis to predict the outcome of the experiment.,12,72.82,4.14,0.86,0.16,Easy
Q0200,Physics,Evaluate,Critique the assumptions made in the relativity model.,8,49.83,14.11,0.64,0.4,Medium
Q0201,Mathematics,Analyze,Break down the steps involved in solving differential equations.,9,49.62,9.41,0.55,0.36,Medium
Q0202,Biology,Apply,Use the concept of photosynthesis to predict the outcome of the experiment.,12,27.55,18.67,0.1,0.68,Medium
Q0203,Biology,Apply,Apply your knowledge of enzyme activity to explain the given case study.,12,87.15,9.46,0.96,0.29,Easy
Q0204,Computer Science,Understand,Illustrate the concept of encryption using a diagram.,8,31.95,15.46,0.45,0.58,Medium
Q0205,Computer Science,Create,Design a system using operating system scheduling to handle real-time data.,11,41.83,10.98,0.26,0.7,Hard
Q0206,Mathematics,Evaluate,Critique the use of linear algebra in the given scenario.,10,25.05,16.44,0.16,0.75,Hard
Q0207,Biology,Remember,What is protein synthesis?,4,31.14,10.67,0.15,0.6,Medium
Q0208,Physics,Create,Formulate a hypothesis about gravitational force based on the data.,10,76.36,3.02,0.8,0.12,Medium
Q0209,Mathematics,Remember,List the properties of matrices.,5,31.8,13.45,0.16,0.5,Medium
Q0210,Biology,Analyze,Differentiate between mitosis and natural selection.,6,62.07,14.62,0.61,0.46,Medium
Q0211,Biology,Evaluate,Critique the experimental design used to study protein synthesis.,9,94.47,8.84,0.93,0.34,Easy
Q0212,Biology,Understand,Explain the process of photosynthesis in living organisms.,8,78.65,4.93,0.97,0.28,Easy
Q0213,Mathematics,Understand,Explain the concept of statistics with an example.,8,72.52,3.24,0.89,0.28,Easy
Q0214,Biology,Analyze,Differentiate between natural selection and osmosis.,6,75.43,9.05,0.76,0.23,Easy
Q0215,Physics,Understand,Explain relativity using everyday examples.,5,48.58,14.6,0.52,0.38,Medium
Q0216,Biology,Evaluate,Judge the effectiveness of osmosis as a defense mechanism.,9,69.31,17.42,0.65,0.5,Medium
Q0217,Computer Science,Apply,Apply TCP/IP protocol to solve the given computational problem.,9,63.86,12.74,0.7,0.38,Easy
Q0218,Biology,Analyze,Break down the molecular mechanisms of cellular respiration.,8,48.35,10.43,0.51,0.46,Medium
Q0219,Computer Science,Remember,Define the term TCP/IP protocol.,5,86.84,7.22,0.96,0.15,Easy
Q0220,Physics,Apply,Determine the value of optics using the data provided.,9,20.38,21.25,0.44,0.49,Medium
Q0221,Biology,Understand,Summarize the role of cellular respiration in cell function.,9,64.39,11.81,0.61,0.39,Easy
Q0222,Biology,Analyze,Differentiate between cellular respiration and genetic mutation.,7,94.53,6.29,0.95,0.33,Easy
Q0223,Mathematics,Evaluate,Critique the use of trigonometry in the given scenario.,9,38.53,10.19,0.29,0.65,Hard
Q0224,Computer Science,Apply,Use dynamic programming to optimize the following algorithm.,8,84.24,4.72,0.88,0.34,Easy
Q0225,Biology,Analyze,Analyze the relationship between protein synthesis and cellular respiration.,9,89.87,4.18,0.92,0.22,Easy
Q0226,Mathematics,Create,Construct a proof for calculus.,5,70.16,3.96,0.9,0.12,Medium
Q0227,Biology,Apply,Apply your knowledge of photosynthesis to explain the given case study.,11,85.94,9.54,0.97,0.26,Easy
Q0228,Biology,Remember,Name the organelles involved in DNA replication.,7,88.05,6.75,0.82,0.23,Easy
Q0229,Mathematics,Evaluate,Critique the use of linear algebra in the given scenario.,10,74.8,6.69,0.95,0.17,Medium
Q0230,Biology,Analyze,Analyze the relationship between mitosis and cellular respiration.,8,69.76,10.26,0.66,0.51,Medium
Q0231,Biology,Analyze,Break down the molecular mechanisms of cellular respiration.,8,46.4,8.09,0.5,0.42,Medium
Q0232,Mathematics,Understand,Explain the concept of trigonometry with an example.,8,91.7,9.21,0.86,0.11,Easy
Q0233,Mathematics,Understand,Interpret the graph representing linear algebra.,6,27.86,21.54,0.31,0.71,Medium
Q0234,Computer Science,Evaluate,Assess the security implications of using binary trees.,8,90.87,5.72,0.97,0.18,Easy
Q0235,Physics,Remember,List the factors affecting gravitational force.,6,75.8,3.53,0.9,0.25,Easy
Q0236,Physics,Analyze,Differentiate between thermodynamics and gravitational force.,6,53.9,17.41,0.58,0.47,Medium
Q0237,Computer Science,Create,Create a flowchart illustrating the process of recursion.,8,76.7,5.66,0.94,0.14,Medium
Q0238,Mathematics,Remember,Define differential equations in mathematics.,5,77.71,5.52,0.81,0.13,Easy
Q0239,Biology,Remember,Name the organelles involved in photosynthesis.,6,78.85,3.65,0.89,0.18,Easy
Q0240,Biology,Analyze,Compare osmosis in prokaryotes and eukaryotes.,6,38.12,16.71,0.45,0.53,Medium
Q0241,Computer Science,Apply,Demonstrate the use of binary trees in the given scenario.,10,57.33,8.63,0.58,0.41,Medium
Q0242,Physics,Understand,Explain wave motion using everyday examples.,6,32.4,17.4,0.26,0.5,Medium
Q0243,Biology,Apply,Demonstrate how cellular respiration affects the survival of the organism.,10,55.77,16.24,0.65,0.45,Medium
Q0244,Biology,Apply,Use the concept of cellular respiration to predict the outcome of the experiment.,13,79.96,5.23,0.93,0.26,Easy
Q0245,Physics,Analyze,Analyze how nuclear fission changes under different conditions.,8,68.3,10.0,0.75,0.34,Medium
Q0246,Biology,Apply,Use the concept of enzyme activity to predict the outcome of the experiment.,13,21.73,20.17,0.38,0.69,Medium
Q0247,Physics,Create,Formulate a hypothesis about relativity based on the data.,9,80.58,5.64,0.86,0.25,Medium
Q0248,Biology,Evaluate,Evaluate the significance of mitosis in evolution.,7,94.21,7.91,0.94,0.25,Easy
Q0249,Physics,Understand,Summarize the principles governing wave motion.,6,46.11,17.84,0.65,0.4,Easy
Q0250,Mathematics,Remember,List the properties of matrices.,5,82.77,6.63,0.89,0.24,Easy
Q0251,Biology,Create,Formulate a research question about mitosis in the context of disease.,11,57.51,11.45,0.46,0.33,Hard
Q0252,Computer Science,Apply,Demonstrate the use of TCP/IP protocol in the given scenario.,10,56.38,10.07,0.59,0.42,Medium
Q0253,Mathematics,Apply,Calculate the value of statistics given the following data.,9,87.77,3.16,0.83,0.13,Easy
